model,fold,rmsle,mae,wape
croston,1,0.6832510275300107,6.103279530773038,0.36174542564567513
croston,2,0.6534614960419294,5.782961574069875,0.32884744776620173
croston,3,0.6778952228736347,6.34942099860202,0.35345767449865184
croston,4,0.8201856138282096,12.53355280883489,0.5069977728144557
global_lightgbm_tuned,1,0.5013122846992871,2.856685729264777,0.16931765780321778
global_lightgbm_tuned,2,0.5022223855258202,3.6767887934843824,0.2090801737528719
global_lightgbm_tuned,3,0.538911108767459,4.353511043074545,0.2423499543545985
global_lightgbm_tuned,4,0.6572198851054778,9.882028332152977,0.3997403155918605
sba,1,0.6686760508066049,5.9414654324284335,0.3521545967173914
sba,2,0.642947511579925,5.722627966225435,0.325416584064265
sba,3,0.668904670307905,6.286071675737768,0.3499311632867487
sba,4,0.8154453827547348,12.40242345187736,0.5016934275149172
tsb,1,0.5989760058478464,5.912585943699801,0.350442890266803
tsb,2,0.5510426361209004,5.564895124796797,0.31644712409667713
tsb,3,0.5856255890995892,6.138621131301055,0.341722930354701
tsb,4,0.7614628112762414,12.338726574770854,0.4991168097497238
two_stage_lightgbm,1,0.5041647765105421,2.9060660348375826,0.17224446126484547
two_stage_lightgbm,2,0.49914034308351135,3.6557741477031045,0.20788517832667533
two_stage_lightgbm,3,0.5389678211105908,4.282296290869355,0.23838559276793003
two_stage_lightgbm,4,0.6248881915596926,9.08742468816668,0.36759761161032656
