analysis_dimension,group_value,family,store_nbr,store_type,day_of_week,month,average_sales,median_sales,observation_count,promotion_observation_count,nonpromotion_observation_count,promotion_rate,avg_sales_promo,avg_sales_nonpromo,median_sales_promo,median_sales_nonpromo,uplift_proxy_pct,total_onpromotion,average_onpromotion,median_onpromotion,average_onpromotion_when_promoted,small_sample_warning,minimum_cohort_observations
family,AUTOMOTIVE,AUTOMOTIVE,,,,,6.101236034133897,5.0,90936,3054,87882,0.033584059118500924,13.241977734119187,5.853087094057941,11.0,4.0,126.23920541969132,4783,0.05259743116037653,0.0,1.5661427635887362,,100
family,BABY CARE,BABY CARE,,,,,0.11052828362804609,0.0,90936,53,90883,0.0005828274830650127,1.6603773584905661,0.10962446222065733,1.0,0.0,1414.6047924490426,53,0.0005828274830650127,0.0,1.0,Promotion cohort below minimum sample size,100
family,BEAUTY,BEAUTY,,,,,3.7157231459487994,2.0,90936,11117,79819,0.1222508137591273,8.291265629216515,3.0784524987784865,6.0,2.0,169.33225809092212,13483,0.14826911234274653,0.0,1.212827201583161,,100
family,BEVERAGES,BEVERAGES,,,,,2385.7931512272366,1784.0,90936,51705,39231,0.5685866983372921,3215.498307707185,1292.272590553389,2505.0,910.0,148.82508003440782,906958,9.973585818597694,2.0,17.541011507591143,,100
family,BOOKS,BOOKS,,,,,0.07079704407495381,0.0,90936,0,90936,0.0,,0.07079704407495381,,0.0,,0,0.0,0.0,,Promotion cohort below minimum sample size,100
family,BREAD/BAKERY,BREAD/BAKERY,,,,,463.3362537852858,401.0,90936,38896,52040,0.42772939209993843,575.4852962376208,379.5132492651855,506.5625,312.8865051269531,51.63773527060699,331289,3.6431006422099057,0.0,8.517302550390786,,100
family,CELEBRATION,CELEBRATION,,,,,8.370469341075042,3.0,90936,3211,87725,0.03531054807776898,19.969168483338525,7.9459219150755205,16.0,3.0,151.31342463171856,6723,0.07393111638954869,0.0,2.093740267829337,,100
family,CLEANING,CLEANING,,,,,1072.4167436438813,938.0,90936,49900,41036,0.5487375736781912,1240.210741482966,868.3783263475972,1053.0,797.0,42.81917268701274,661157,7.270574909826691,1.0,13.249639278557114,,100
family,DAIRY,DAIRY,,,,,709.1548891528108,520.0,90936,45985,44951,0.5056853171461247,933.341720126128,479.81112767235436,717.0,336.0,94.52273327922343,728707,8.013405032110496,1.0,15.846623899097532,,100
family,DELI,DELI,,,,,265.1350671253555,218.97150421142578,90936,39479,51457,0.43414049441365354,321.6658004947327,221.76338158811777,260.91900634765625,183.0800018310547,45.049105127808794,583316,6.414577285123603,0.0,14.775348919678816,,100
